Year_Month,ewp_rank_1,ewp_rank_2,ewp_rank_3,ls
2001-02,-0.013305580032051335,-0.05413089424683826,-0.2450673637293243,-0.23176178369727296
2001-03,-0.07314463544291479,-0.05484266523697769,0.004176700890945772,0.07732133633386055
2001-04,0.0424004080696825,0.10112366602879301,0.17585946898585222,0.13345906091616971
2001-05,0.028957925549878437,-0.012592051057799281,-0.03950559076599551,-0.06846351631587394
2001-06,0.011177588863324095,-0.03161232566141055,0.10370824129151357,0.09253065242818947
2001-07,0.04282154047914979,-0.013189113465743408,-0.04777888954976952,-0.09060043002891931
2001-08,0.00892037536262138,-0.08378542211052069,-0.12887812942124172,-0.1377985047838631
2001-10,0.03390043582397577,-0.09436813363168513,0.005323224458210762,-0.028577211365765007
2001-11,0.02814089291859252,0.08793738100645591,0.21798395686928407,0.18984306395069156
2001-12,0.0016390466113252121,0.02187991720683382,0.04014305845778858,0.03850401184646337
2002-01,-0.009780949559973861,0.019459125989277525,0.07320139890554148,0.08298234846551533
2002-02,0.036000174674119444,0.008173400782540474,-0.16946856008702876,-0.20546873476114821
2002-03,0.04900123676014443,0.07331469325300939,-0.01590878756899532,-0.06491002432913975
2002-04,-0.03879095270284436,-0.038928681639357164,-0.1543520550666898,-0.11556110236384545
2002-05,-0.00837667794735233,-0.0073465167267937614,-0.043942007010038385,-0.03556532906268606
2002-06,-0.034577501627524355,-0.14471881449552432,-0.13417815513616987,-0.09960065350864553
2002-07,-0.042357191862989876,-0.09053680579544283,-0.09694058499073459,-0.05458339312774471
2002-08,-0.029990096872137006,-0.002217544705380825,-0.05954977452597365,-0.029559677653836647
2002-09,-0.02763223815293363,-0.16744670099117603,-0.15136864551432683,-0.1237364073613932
2002-10,0.0512930090428521,0.14031365972152643,0.25333194792050656,0.20203893887765445
2002-11,-0.02378330282697185,0.09086227254690349,0.27149107076923096,0.2952743735962028
2002-12,-0.01997056610115444,-0.09793707396365436,-0.2106644873372255,-0.19069392123607107
2003-01,-0.023294891366678727,-0.019875308997043106,-0.0025508184148568926,0.020744072951821835
2003-02,-0.019249586249015672,0.023130983286638807,0.04585312374328791,0.06510270999230358
2003-03,0.03905329108450535,0.0016636452285056613,-0.04291537612886183,-0.08196866721336718
2003-04,0.020744895280334786,0.10665208480625885,0.13155424315953712,0.11080934787920234
2003-05,-0.003927905418787803,0.21274386550534197,0.15830069387249496,0.16222859929128275
2003-06,0.010770575379518066,0.032164862642659386,-0.02919845947720918,-0.039969034856727245
2003-07,0.0005309908332250535,0.02509711844782032,0.05627057988083517,0.055739589047610116
2003-08,-0.043240951592033935,0.006243309776868622,0.06268595196405195,0.10592690355608589
2003-09,0.02245478402648693,-0.023719695636118067,-0.05984587725007169,-0.08230066127655862
2003-10,0.035216993236238905,0.0905088816455294,0.048521062861080134,0.013304069624841229
2003-11,0.006148400292475142,0.01546276026902207,0.01946551257710081,0.013317112284625666
2003-12,0.0716455685450224,0.07069363864448275,0.015962093403546818,-0.05568347514147558
2004-01,0.023067091883025005,0.024332146750065297,0.023975529654146822,0.0009084377711218172
2004-02,0.0015067659256283506,-0.005974350813832463,-0.03359843201334325,-0.0351051979389716
2004-03,-0.01425813798768567,-0.02917384715636646,0.041622947686757915,0.05588108567444358
2004-04,0.02622484997609238,-0.022402444854368663,-0.10467781189615917,-0.13090266187225155
2004-05,0.011656858543935144,0.03244726831164024,0.07588857510842324,0.0642317165644881
2004-06,0.02322771382419242,0.01340312299343549,0.02442147559873529,0.0011937617745428689
2004-07,-0.0371061652805252,-0.03648578878820645,-0.1264753677324083,-0.08936920245188311
2004-08,0.029295653835647716,-0.015457734637451304,-0.0483519340858346,-0.07764758792148233
2004-09,-0.035588451245211,-0.014690008523374076,0.06615020577876103,0.10173865702397203
2004-10,0.009580067064289155,0.08333915391437771,0.07002364688590912,0.060443579821619964
2004-11,0.03234428411117849,0.014340795527776739,0.12753876858484936,0.09519448447367088
2004-12,0.034295241905169124,0.028517008232698184,0.06656484619889969,0.03226960429373056
2005-01,-0.002708869182475504,-0.02217156059133103,0.005773304925519062,0.008482174107994567
2005-02,0.014976717260072969,0.015318007402451327,0.0759822826649961,0.06100556540492313
2005-03,-0.00401801741915595,-0.005654386001664524,-0.07082682362186973,-0.06680880620271379
2005-04,0.030128826022027332,-0.010124683644450915,-0.05151062300634559,-0.08163944902837292
2005-05,0.003894706491166722,0.07484275487482832,0.10766159471272582,0.1037668882215591
2005-06,-0.02216133953056556,-0.04325121558666221,0.0006929252689716447,0.022854264799537203
2005-07,0.01585633027926927,-0.00801996907172553,0.049224082837246864,0.033367752557977595
2005-08,-0.007926246322981511,-0.004680358885230373,0.012364620990211562,0.020290867313193073
2005-09,0.0017600794864945258,-0.02225234539575107,0.04324054043886547,0.04148046095237095
2005-10,0.005287100422986035,-0.038415902430757785,0.0023682142110728723,-0.002918886211913163
2005-11,0.04697922426387454,0.036956668669837434,0.1298397391664912,0.08286051490261664
2005-12,-0.022031049092455214,0.0019416122303232753,0.01934445476356624,0.041375503856021456
2006-01,0.004522472027417605,0.0495789723685518,0.018811354515158696,0.01428888248774109
2006-02,0.02747651143529839,0.029817960250642206,-0.008483120380406195,-0.035959631815704586
2006-03,0.012683201505018504,0.01522381098171327,0.059684084383190304,0.0470008828781718
2006-04,-0.0022402396841843717,0.01839863056055586,0.046584270169040876,0.04882450985322525
2006-05,-0.011973256439769727,-0.00842732687114689,-0.08339265269187873,-0.07141939625210901
2006-06,-0.0055887181541581414,0.03117966264283385,0.0005470421637365774,0.006135760317894719
2006-07,0.04702916831320255,-0.008704691486825733,0.021638430751586557,-0.025390737561615993
2006-08,0.039935846589526404,0.07656999480363483,0.07954314528869909,0.039607298699172684
2006-09,0.029225202186484944,0.060203302127981306,0.054591574745416684,0.02536637255893174
